Packet,Link Dir,Ord.Set Type,DLLP Type,TLP Type,Link Event,PSN,AckNak_Seq_Num,VC ID,HdrFC,DataFC,TC,TH,TD,EP,Attributes,AT,Length,RequesterID,Tag,CompleterID,Address,DeviceID,Register,1st BE,Last BE,Cpl Status,Byte Cnt,BCM,Lwr Addr,Msg Routing,Message Code,TS Link,TS Lane,N_FTS,Training Control,TS Data Rate,TS Gen3 Eq Control,TS Gen3 Pre-Cursor,TS Gen3 Cursor,TS Gen3 Post-Cursor,PMUX Channel ID,PMUX Metadata,Snoop,Requirement (Snoop),Scale (Snoop),Value (Snoop),No-Snoop,Requirement (No-Snoop),Scale (No-Snoop),Value (No-Snoop),LCRC,ECRC,CRC 16,Time Delta,Time Stamp,DATA
30,Upstream,,,MWr(64),,135,,,,,,,,,,,64,001:00:0,0,,00000001:016AFB00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x6003208A,0x2F513A8C,,27.250 ns,0441.801261844s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 FDE80400 
31,Downstream,,ACK,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7DEB,72.500 ns,0441.801261872s,
32,Downstream,,ACK,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xDCF0,141.000 ns,0441.801261946s,
33,Upstream,,,MWr(64),,136,,,,,,,,,,,64,001:00:0,0,,00000001:016AFC00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x27F25728,0x028B8191,,0.000 ns,0441.801262086s,00000100 FEE80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
34,Upstream,,,MWr(64),,137,,,,,,,,,,,64,001:00:0,0,,00000001:016AFD00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0x41861781,0xDD061837,,29.750 ns,0441.801262158s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 FEE80400 
35,Downstream,,ACK,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xB36F,69.750 ns,0441.801262188s,
36,Downstream,,ACK,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1274,135.250 ns,0441.801262260s,
37,Upstream,,,MWr(64),,138,,,,,,,,,,,64,001:00:0,0,,00000001:016AFE00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xAA1CA6A1,0x829473A8,,0.000 ns,0441.801262396s,00000100 FFE80400 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 
38,Upstream,,,MWr(64),,139,,,,,,,,,,,64,001:00:0,0,,00000001:016AFF00,,,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,0xCC68E608,0x7334065E,,29.750 ns,0441.801262468s,33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 BBAA9988 FFEEDDCC 33221100 77665544 00000100 FFE80400 
39,Downstream,,ACK,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xF158,69.750 ns,0441.801262498s,
